Azone,Bzone,Czone,Marea
Fulton,D1,NA,ARC
Fulton,D2,NA,ARC
Fulton,D3,NA,ARC
Fulton,D4,NA,ARC
Fulton,D5,NA,ARC
Fulton,D6,NA,ARC
Fulton,D7,NA,ARC
Fulton,D8,NA,ARC
Fulton,D9,NA,ARC
Fulton,D10,NA,ARC
Fulton,D11,NA,ARC
Fulton,D12,NA,ARC
Cherokee,D15,NA,ARC
Cherokee,D16,NA,ARC
Cherokee,D17,NA,ARC
Cherokee,D18,NA,ARC
Clayton,D21,NA,ARC
Clayton,D22,NA,ARC
Clayton,D23,NA,ARC
Clayton,D24,NA,ARC
Cobb,D31,NA,ARC
Cobb,D32,NA,ARC
Cobb,D33,NA,ARC
Cobb,D34,NA,ARC
Cobb,D35,NA,ARC
Cobb,D36,NA,ARC
DeKalb,D41,NA,ARC
DeKalb,D43,NA,ARC
DeKalb,D44,NA,ARC
DeKalb,D45,NA,ARC
DeKalb,D46,NA,ARC
DeKalb,D47,NA,ARC
DeKalb,D48,NA,ARC
DeKalb,D49,NA,ARC
Douglas,D51,NA,ARC
Douglas,D52,NA,ARC
Fayette,D61,NA,ARC
Fayette,D62,NA,ARC
Gwinnett,D71,NA,ARC
Gwinnett,D72,NA,ARC
Gwinnett,D73,NA,ARC
Gwinnett,D74,NA,ARC
Gwinnett,D75,NA,ARC
Gwinnett,D76,NA,ARC
Henry,D81,NA,ARC
Henry,D82,NA,ARC
Henry,D83,NA,ARC
Rockdale,D91,NA,ARC
Rockdale,D92,NA,ARC
Barrow,D101,NA,ARC
Barrow,D102,NA,ARC
Bartow,D111,NA,ARC
Bartow,D112,NA,ARC
Bartow,D113,NA,ARC
Bartow,D114,NA,ARC
Carroll,D121,NA,ARC
Carroll,D122,NA,ARC
Carroll,D123,NA,ARC
Carroll,D124,NA,ARC
Coweta,D131,NA,ARC
Coweta,D132,NA,ARC
Coweta,D133,NA,ARC
Coweta,D134,NA,ARC
Forsyth,D141,NA,ARC
Forsyth,D142,NA,ARC
Forsyth,D143,NA,ARC
Hall,D151,NA,ARC
Hall,D152,NA,ARC
Hall,D153,NA,ARC
Newton,D163,NA,ARC
Newton,D164,NA,ARC
Paulding,D171,NA,ARC
Paulding,D172,NA,ARC
Paulding,D173,NA,ARC
Spalding,D181,NA,ARC
Spalding,D182,NA,ARC
Walton,D191,NA,ARC
Walton,D192,NA,ARC
