filename,IO,Package,Module,Usefor,Explain,filelocation,Question_VE,Question_ARC
azone_hh_pop_by_age.csv,I,VESimHouseholds,CreateHouseholds,Creates synthetic households having numbers of persons in each of the 6 age groups,<p>Azone level forecast of number of persons by age group for regular households<hr/><b>Geo:</b>Azones<br/><b>Year:</b> modal run years<br/><b>Age0to14:</b> Household (non-group quarters) population in 0 to 14 year old age group<br/><b>Age15to19:</b> Household (non-group quarters) population in 15 to 19 year old age group<br/><b>Age20to29:</b> Household (non-group quarters) population in 20 to 29 year old age group<br/><b>Age30to54:</b> Household (non-group quarters) population in 30 to 54 year old age group<br/><b>Age55to64:</b> Household (non-group quarters) population in 55 to 64 year old age group<br/><b>Age65Plus:</b> Household (non-group quarters) population in 65 or older age group</p>,inputs/,,
azone_hhsize_targets.csv,I,VESimHouseholds,CreateHouseholds,Creates synthetic households having numbers of persons in each of the 6 age groups,<p>1.Azone level forecast of average household size for regular households<br/>2.Azone level forecast of proportion of regular households that are single-person households<br/><hr/><b>Geo:</b> Azones<br/><b>Year:</b> model run years<br/><b>AveHhSize:</b> Average household size of households (non-group quarters)<br/><b>Prop1PerHh:</b> Proportion of households (non-group quarters) having only one person</p>,inputs/,,
azone_gq_pop_by_age.csv,I,VESimHouseholds,CreateHouseholds,Creates synthetic households having numbers of persons in each of the 6 age groups,<p>Azone level forecast of number of persons by age group for group quarters households <br/><hr/><b>Geo: </b>Azones<br/><b>Year: </b>model run year<br/><b>GrpAge0to14:</b> Group quarters population in 0 to 14 year old age group<br/><b>GrpAge15to19:</b>Group quarters population in 15 to 19 year old age group<br/><b>GrpAge20to29:</b>Group quarters population in 20 to 29 year old age group<br/><b>GrpAge30to54:</b>Group quarters population in 30 to 54 year old age group<br/><b>GrpAge55to64: </b>Group quarters population in 55 to 64 year old age group<br/><b>GrpAge65Plus:</b>Group quarters population in 65 or older age group</p>,inputs/,3.1 Azone ,
azone_relative_employment.csv,I,VESimHouseholds,PredictWorkers,Predicts the number of workers by age group in each simulated household,"<p>specifies the employment rate by age and Azone relative to the employment rate for the model estimation data year.<br/><hr/><b>Geo:</b> Must contain a record for each Azone and model run year.<br/><b>Year:</b> Must contain a record for each Azone and model run year.<br/><b>RelEmp15to19:</b> Ratio of workers to persons age 15 to 19 in model year vs. in estimation data year<br/><b>RelEmp20to29:</b> Ratio of workers to persons age 20 to 29 in model year vs. in estimation data year<br/><b>RelEmp30to54:</b>  Ratio of workers to persons age 30 to 54 in model year vs. in estimation data year<br/><b>RelEmp55to64:</b> Ratio of workers to persons age 55 to 64 in model year vs. in estimation data year<br/><b>RelEmp65Plus:</b> Ratio of workers to persons age 65 or older in model year vs. in estimation data year</p>		",inputs/,,
azone_per_cap_inc.csv,I,VESimHouseholds,PredictIncome,Predicts the income for each simulated household given the number of workers in each age group and the average per capita income for the Azone where the household resides.,<p>average per capita income for regular households and for persons in non-institutional group quarters by Azone and model run year<br/><hr/><b>Geo:</b> Azones<br/><b>Year:</b> Model run year<br/><b>HHIncomePC:</b> Average annual per capita income of households (non-group quarters)<br/><b>GqIncomePC:</b> Average annual per capita income of group quarters population</p>,inputs/,,
bzone_dwelling_units.csv,I,VELandUSe,PredictHousing,"Assigns a housing type, either single-family (SF) or multifamily (MF) to regular households based on the respective supplies of SF and MF dwelling units in the Azone where the household resides.","<p>Identifies the numbers of single-family dwelling units, multifamily dwelling units, and group quarters units by Bzone and model run year.<br/><hr/><b>Geo:</b> Bzones<br/><b>Year:</b> Model run years<br/><b>SFDU:</b> Number of single family dwelling units (PUMS codes 01 - 03) in zone<br/><b>MFDU:</b> Number of multi-family dwelling units (PUMS codes 04 - 09) in zone<br/><b>GQDU:</b> Number of qroup quarters population accommodations in zone</p>",inputs/,,
bzone_hh_inc_qrtl_prop.csv,I,VELandUSe,PredictHousing,"Assigns a housing type, either single-family (SF) or multifamily (MF) to regular households based on the respective supplies of SF and MF dwelling units in the Azone where the household resides.",<p>the distribution of households by Azone income quartile by Bzone and model run year.<br/><hr/><b>Geo:</b> Bzones<br/><b>Year:</b> model run years<br/><b>HhPropIncQ1:</b> Proportion of Bzone households (non-group quarters) in 1st quartile of Azone household income<br/><b>HhPropIncQ2:</b> Proportion of Bzone households (non-group quarters) in 2nd quartile of Azone household income<br/><b>HhPropIncQ3:</b>Proportion of Bzone households (non-group quarters) in 3rd quartile of Azone household income<br/><b>HhPropIncQ4:</b>Proportion of Bzone households (non-group quarters) in 4th quartile of Azone household income</p>,inputs/,,
bzone_employment.csv,I,VELandUSe,LocateEmployment,Places employment in Bzones based on input assumptions of employment by type and Bzone.,"<p>Identifies the number of total jobs, retail jobs, and service jobs by Bzone and model run year<br/><hr/><b>Geo:</b>Bzones<br/><b>Year:</b> model run years<br/><b>TotEmp:</b> Total number of jobs in zone<br/><b>RetEmp:</b> Number of jobs in retail sector inzone<br/><b>SvcEmp:</b> Number of jobs in service sector in zone</p>",inputs/,,
bzone_lat_lon.csv,I,VELandUSe,LocateEmployment,Places employment in Bzones based on input assumptions of employment by type and Bzone.,<p>Lists the latitudes and longitudes of the centroids of each Bzone<br/><hr/><b>Geo:</b> Bzones<br/><b>Year:</b> model run year<br/><b>Latitude:</b> Latitude in decimal degrees of centroid of the zone</p>,inputs/,,
bzone_urban-town_du_proportions.csv,I,VELandUSe,AssignLocTypes,Assigns households to location types:Urban-located within an urbanized area;Town-located in a smaller urban area that does not have enough population ti qualify as an urbanized area;Rural-located in an area characterized by low density dispered development,"<p>Lists the proportions for single-family, multifamily, and group quarters dwelling units in each Bzone in each model run year that are in Urban locations, and the proportions that are in Town locations.<br/><hr/><b>Geo:</b> Bzones<br/><b>Year:</b> model run years<br/><b>PropUrbanSFDU:</b> Proportion of single family dwelling units located within the urban portion of the zone<br/><b>PropUrbanMFDU:</b> Proportion of multi-family dwelling units located within the urban portion of the zone<br/><b>PropUrbanGQDU:</b> Proportion of group quarters accommodations located within the urban portion of the zone<br/><b>PropTownSFDU:</b> Proportion of single family dwelling units located within the town portion of the zone<br/><b>PropTownMFDU:</b> Proportion of multi-family dwelling units located within the town portion of the zone<br/><b>PropTownGQDU:</b> Proportion of group quarters accommodations located within the town portion of the zone</p>",inputs/,,
