Geo,Year,LtTrkProp
Fulton,2015,0.447269857
Cherokee,2015,0.447269857
Clayton,2015,0.447269857
Cobb,2015,0.447269857
DeKalb,2015,0.447269857
Douglas,2015,0.447269857
Fayette,2015,0.447269857
Gwinnett,2015,0.447269857
Henry,2015,0.447269857
Rockdale,2015,0.447269857
Barrow,2015,0.447269857
Bartow,2015,0.447269857
Carroll,2015,0.447269857
Coweta,2015,0.447269857
Forsyth,2015,0.447269857
Hall,2015,0.447269857
Newton,2015,0.447269857
Paulding,2015,0.447269857
Spalding,2015,0.447269857
Walton,2015,0.447269857
Fulton,2050,0.447269857
Cherokee,2050,0.447269857
Clayton,2050,0.447269857
Cobb,2050,0.447269857
DeKalb,2050,0.447269857
Douglas,2050,0.447269857
Fayette,2050,0.447269857
Gwinnett,2050,0.447269857
Henry,2050,0.447269857
Rockdale,2050,0.447269857
Barrow,2050,0.447269857
Bartow,2050,0.447269857
Carroll,2050,0.447269857
Coweta,2050,0.447269857
Forsyth,2050,0.447269857
Hall,2050,0.447269857
Newton,2050,0.447269857
Paulding,2050,0.447269857
Spalding,2050,0.447269857
Walton,2050,0.447269857
