Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Fulton,2015,188934,51405,141963,352566,105971,100666
Cherokee,2015,49092,16183,26555,84272,27398,28333
Clayton,2015,61872,19549,35767,93580,28796,22400
Cobb,2015,144213,48783,90261,264318,89093,83009
DeKalb,2015,146098,38393,100384,260867,82214,75281
Douglas,2015,28772,9510,17725,48636,15967,16053
Fayette,2015,20947,8845,10591,37831,15733,16104
Gwinnett,2015,188416,64819,104956,320678,96470,79260
Henry,2015,44749,19291,26286,79468,24434,23453
Rockdale,2015,18825,6652,10545,30688,10748,11060
Barrow,2015,15967,5097,9751,26033,8414,9226
Bartow,2015,23496,7804,14156,39320,12180,12113
Carroll,2015,24249,7610,16497,38462,12652,13272
Coweta,2015,26387,10587,16691,47278,18418,21190
Forsyth,2015,46360,14659,21881,78413,21753,22574
Hall,2015,45011,14092,25751,64778,20875,25055
Newton,2015,21891,7945,13393,36079,12391,13429
Paulding,2015,31867,11069,18761,55383,16254,15295
Spalding,2015,12565,4684,8677,21125,8167,9927
Walton,2015,18528,5919,10895,30391,9961,10734
Fulton,2050,159447,50103,124450,366689,141178,227322
Cherokee,2050,56784,20278,39080,122240,43873,77327
Clayton,2050,45464,16094,30425,94967,36059,50427
Cobb,2050,117616,42350,83205,256219,86179,171792
DeKalb,2050,125661,36474,90046,241193,82584,153256
Douglas,2050,28615,10528,20219,65196,23761,32996
Fayette,2050,16340,7454,10623,45586,18696,27239
Gwinnett,2050,220084,68545,130444,413720,144094,254230
Henry,2050,44505,18319,32451,109960,43554,66664
Rockdale,2050,17670,6156,11056,39257,15037,24252
Barrow,2050,25725,6174,14329,41764,15813,21075
Bartow,2050,22863,8652,17351,56851,21458,29050
Carroll,2050,22551,7815,17507,49317,18572,26175
Coweta,2050,30842,12642,21254,77952,28916,46782
Forsyth,2050,63142,27161,41628,147472,51298,76842
Hall,2050,52986,17876,33864,94311,36994,51976
Newton,2050,22160,7896,15009,49742,18240,30810
Paulding,2050,36268,14285,26907,92659,33867,44547
Spalding,2050,12877,4944,9751,30187,10965,18932
Walton,2050,26029,6263,14160,42570,16464,21626
