Geo,Year,AutoMeanAge,LtTrkMeanAge
Fulton,2015,10.8,10.5
Cherokee,2015,10.8,10.5
Clayton,2015,10.8,10.5
Cobb,2015,10.8,10.5
DeKalb,2015,10.8,10.5
Douglas,2015,10.8,10.5
Fayette,2015,10.8,10.5
Gwinnett,2015,10.8,10.5
Henry,2015,10.8,10.5
Rockdale,2015,10.8,10.5
Barrow,2015,10.8,10.5
Bartow,2015,10.8,10.5
Carroll,2015,10.8,10.5
Coweta,2015,10.8,10.5
Forsyth,2015,10.8,10.5
Hall,2015,10.8,10.5
Newton,2015,10.8,10.5
Paulding,2015,10.8,10.5
Spalding,2015,10.8,10.5
Walton,2015,10.8,10.5
Fulton,2050,12,12
Cherokee,2050,12,12
Clayton,2050,12,12
Cobb,2050,12,12
DeKalb,2050,12,12
Douglas,2050,12,12
Fayette,2050,12,12
Gwinnett,2050,12,12
Henry,2050,12,12
Rockdale,2050,12,12
Barrow,2050,12,12
Bartow,2050,12,12
Carroll,2050,12,12
Coweta,2050,12,12
Forsyth,2050,12,12
Hall,2050,12,12
Newton,2050,12,12
Paulding,2050,12,12
Spalding,2050,12,12
Walton,2050,12,12
