Geo,Year,AveHhSize,Prop1PerHh
Fulton,2015,NA,NA
Cherokee,2015,NA,NA
Clayton,2015,NA,NA
Cobb,2015,NA,NA
DeKalb,2015,NA,NA
Douglas,2015,NA,NA
Fayette,2015,NA,NA
Gwinnett,2015,NA,NA
Henry,2015,NA,NA
Rockdale,2015,NA,NA
Barrow,2015,NA,NA
Bartow,2015,NA,NA
Carroll,2015,NA,NA
Coweta,2015,NA,NA
Forsyth,2015,NA,NA
Hall,2015,NA,NA
Newton,2015,NA,NA
Paulding,2015,NA,NA
Spalding,2015,NA,NA
Walton,2015,NA,NA
Fulton,2050,NA,NA
Cherokee,2050,NA,NA
Clayton,2050,NA,NA
Cobb,2050,NA,NA
DeKalb,2050,NA,NA
Douglas,2050,NA,NA
Fayette,2050,NA,NA
Gwinnett,2050,NA,NA
Henry,2050,NA,NA
Rockdale,2050,NA,NA
Barrow,2050,NA,NA
Bartow,2050,NA,NA
Carroll,2050,NA,NA
Coweta,2050,NA,NA
Forsyth,2050,NA,NA
Hall,2050,NA,NA
Newton,2050,NA,NA
Paulding,2050,NA,NA
Spalding,2050,NA,NA
Walton,2050,NA,NA
