Geo,Year,RelEmp15to19,RelEmp20to29,RelEmp30to54,RelEmp55to64,RelEmp65Plus
Fulton,2015,1,1,1,1,1
Cherokee,2015,1,1,1,1,1
Clayton,2015,1,1,1,1,1
Cobb,2015,1,1,1,1,1
DeKalb,2015,1,1,1,1,1
Douglas,2015,1,1,1,1,1
Fayette,2015,1,1,1,1,1
Gwinnett,2015,1,1,1,1,1
Henry,2015,1,1,1,1,1
Rockdale,2015,1,1,1,1,1
Barrow,2015,1,1,1,1,1
Bartow,2015,1,1,1,1,1
Carroll,2015,1,1,1,1,1
Coweta,2015,1,1,1,1,1
Forsyth,2015,1,1,1,1,1
Hall,2015,1,1,1,1,1
Newton,2015,1,1,1,1,1
Paulding,2015,1,1,1,1,1
Spalding,2015,1,1,1,1,1
Walton,2015,1,1,1,1,1
Fulton,2050,1,1,1,1,1
Cherokee,2050,1,1,1,1,1
Clayton,2050,1,1,1,1,1
Cobb,2050,1,1,1,1,1
DeKalb,2050,1,1,1,1,1
Douglas,2050,1,1,1,1,1
Fayette,2050,1,1,1,1,1
Gwinnett,2050,1,1,1,1,1
Henry,2050,1,1,1,1,1
Rockdale,2050,1,1,1,1,1
Barrow,2050,1,1,1,1,1
Bartow,2050,1,1,1,1,1
Carroll,2050,1,1,1,1,1
Coweta,2050,1,1,1,1,1
Forsyth,2050,1,1,1,1,1
Hall,2050,1,1,1,1,1
Newton,2050,1,1,1,1,1
Paulding,2050,1,1,1,1,1
Spalding,2050,1,1,1,1,1
Walton,2050,1,1,1,1,1
