Geo,Year,CarSvcLevel
D1,2015,Low
D2,2015,Low
D3,2015,Low
D4,2015,Low
D5,2015,Low
D6,2015,Low
D7,2015,Low
D8,2015,Low
D9,2015,Low
D10,2015,Low
D11,2015,Low
D12,2015,Low
D15,2015,Low
D16,2015,Low
D17,2015,Low
D18,2015,Low
D21,2015,Low
D22,2015,Low
D23,2015,Low
D24,2015,Low
D31,2015,Low
D32,2015,Low
D33,2015,Low
D34,2015,Low
D35,2015,Low
D36,2015,Low
D41,2015,Low
D43,2015,Low
D44,2015,Low
D45,2015,Low
D46,2015,Low
D47,2015,Low
D48,2015,Low
D49,2015,Low
D51,2015,Low
D52,2015,Low
D61,2015,Low
D62,2015,Low
D71,2015,Low
D72,2015,Low
D73,2015,Low
D74,2015,Low
D75,2015,Low
D76,2015,Low
D81,2015,Low
D82,2015,Low
D83,2015,Low
D91,2015,Low
D92,2015,Low
D101,2015,Low
D102,2015,Low
D111,2015,Low
D112,2015,Low
D113,2015,Low
D114,2015,Low
D121,2015,Low
D122,2015,Low
D123,2015,Low
D124,2015,Low
D131,2015,Low
D132,2015,Low
D133,2015,Low
D134,2015,Low
D141,2015,Low
D142,2015,Low
D143,2015,Low
D151,2015,Low
D152,2015,Low
D153,2015,Low
D163,2015,Low
D164,2015,Low
D171,2015,Low
D172,2015,Low
D173,2015,Low
D181,2015,Low
D182,2015,Low
D191,2015,Low
D192,2015,Low
D1,2050,Low
D2,2050,Low
D3,2050,Low
D4,2050,Low
D5,2050,Low
D6,2050,Low
D7,2050,Low
D8,2050,Low
D9,2050,Low
D10,2050,Low
D11,2050,Low
D12,2050,Low
D15,2050,Low
D16,2050,Low
D17,2050,Low
D18,2050,Low
D21,2050,Low
D22,2050,Low
D23,2050,Low
D24,2050,Low
D31,2050,Low
D32,2050,Low
D33,2050,Low
D34,2050,Low
D35,2050,Low
D36,2050,Low
D41,2050,Low
D43,2050,Low
D44,2050,Low
D45,2050,Low
D46,2050,Low
D47,2050,Low
D48,2050,Low
D49,2050,Low
D51,2050,Low
D52,2050,Low
D61,2050,Low
D62,2050,Low
D71,2050,Low
D72,2050,Low
D73,2050,Low
D74,2050,Low
D75,2050,Low
D76,2050,Low
D81,2050,Low
D82,2050,Low
D83,2050,Low
D91,2050,Low
D92,2050,Low
D101,2050,Low
D102,2050,Low
D111,2050,Low
D112,2050,Low
D113,2050,Low
D114,2050,Low
D121,2050,Low
D122,2050,Low
D123,2050,Low
D124,2050,Low
D131,2050,Low
D132,2050,Low
D133,2050,Low
D134,2050,Low
D141,2050,Low
D142,2050,Low
D143,2050,Low
D151,2050,Low
D152,2050,Low
D153,2050,Low
D163,2050,Low
D164,2050,Low
D171,2050,Low
D172,2050,Low
D173,2050,Low
D181,2050,Low
D182,2050,Low
D191,2050,Low
D192,2050,Low
