Geo,Year,D3bpo4
D1,2015,2.767377827
D2,2015,4.809201098
D3,2015,3.907784712
D4,2015,4.964432242
D5,2015,12.03891651
D6,2015,55.53766009
D7,2015,7.321379366
D8,2015,69.76821244
D9,2015,18.16244164
D10,2015,1.084170927
D11,2015,15.07910951
D12,2015,3.455006589
D15,2015,0.53722325
D16,2015,0.331612442
D17,2015,1.140340469
D18,2015,2.498516853
D21,2015,3.732203263
D22,2015,7.805546795
D23,2015,6.321281324
D24,2015,3.597994927
D31,2015,3.508059911
D32,2015,5.087115058
D33,2015,3.724392942
D34,2015,8.966257196
D35,2015,8.561061653
D36,2015,3.976138032
D41,2015,7.036013607
D43,2015,8.261783785
D44,2015,5.325511252
D45,2015,20.75127563
D46,2015,21.04510295
D47,2015,5.585212093
D48,2015,3.295120007
D49,2015,3.325096444
D51,2015,0.925777293
D52,2015,2.528154726
D61,2015,2.159074526
D62,2015,1.030144765
D71,2015,2.885861047
D72,2015,4.234139393
D73,2015,1.867457618
D74,2015,5.084117276
D75,2015,4.337855928
D76,2015,2.420608846
D81,2015,2.603515051
D82,2015,0.633840596
D83,2015,1.608895689
D91,2015,1.315476658
D92,2015,1.673821928
D101,2015,1.726825835
D102,2015,0.256123142
D111,2015,0.377536676
D112,2015,0.132053884
D113,2015,0.16529636
D114,2015,1.487927653
D121,2015,0.521632929
D122,2015,0.048290021
D123,2015,0.987246901
D124,2015,0.017021187
D131,2015,0.380048916
D132,2015,1.817092954
D133,2015,0.190082617
D134,2015,0.491949628
D141,2015,0.555919395
D142,2015,1.278383016
D143,2015,2.216181455
D151,2015,0.198302908
D152,2015,1.365082136
D153,2015,0.657303924
D163,2015,0.730624221
D164,2015,0.118271666
D171,2015,0.039749026
D172,2015,0.114655523
D173,2015,0.50959367
D181,2015,2.287157887
D182,2015,0.63118146
D191,2015,0.189805437
D192,2015,0.429827224
D1,2050,2.767377827
D2,2050,4.809201098
D3,2050,3.907784712
D4,2050,4.964432242
D5,2050,12.03891651
D6,2050,55.53766009
D7,2050,7.321379366
D8,2050,69.76821244
D9,2050,18.16244164
D10,2050,1.084170927
D11,2050,15.07910951
D12,2050,3.455006589
D15,2050,0.53722325
D16,2050,0.331612442
D17,2050,1.140340469
D18,2050,2.498516853
D21,2050,3.732203263
D22,2050,7.805546795
D23,2050,6.321281324
D24,2050,3.597994927
D31,2050,3.508059911
D32,2050,5.087115058
D33,2050,3.724392942
D34,2050,8.966257196
D35,2050,8.561061653
D36,2050,3.976138032
D41,2050,7.036013607
D43,2050,8.261783785
D44,2050,5.325511252
D45,2050,20.75127563
D46,2050,21.04510295
D47,2050,5.585212093
D48,2050,3.295120007
D49,2050,3.325096444
D51,2050,0.925777293
D52,2050,2.528154726
D61,2050,2.159074526
D62,2050,1.030144765
D71,2050,2.885861047
D72,2050,4.234139393
D73,2050,1.867457618
D74,2050,5.084117276
D75,2050,4.337855928
D76,2050,2.420608846
D81,2050,2.603515051
D82,2050,0.633840596
D83,2050,1.608895689
D91,2050,1.315476658
D92,2050,1.673821928
D101,2050,1.726825835
D102,2050,0.256123142
D111,2050,0.377536676
D112,2050,0.132053884
D113,2050,0.16529636
D114,2050,1.487927653
D121,2050,0.521632929
D122,2050,0.048290021
D123,2050,0.987246901
D124,2050,0.017021187
D131,2050,0.380048916
D132,2050,1.817092954
D133,2050,0.190082617
D134,2050,0.491949628
D141,2050,0.555919395
D142,2050,1.278383016
D143,2050,2.216181455
D151,2050,0.198302908
D152,2050,1.365082136
D153,2050,0.657303924
D163,2050,0.730624221
D164,2050,0.118271666
D171,2050,0.039749026
D172,2050,0.114655523
D173,2050,0.50959367
D181,2050,2.287157887
D182,2050,0.63118146
D191,2050,0.189805437
D192,2050,0.429827224
