Geo,Year,D4c
D1,2015,4015
D2,2015,1929
D3,2015,4364
D4,2015,6230
D5,2015,20759
D6,2015,15097
D7,2015,30984
D8,2015,7969
D9,2015,22850
D10,2015,1662
D11,2015,14506
D12,2015,7801
D15,2015,0
D16,2015,0
D17,2015,9
D18,2015,18
D21,2015,2132
D22,2015,4521
D23,2015,1916
D24,2015,1448
D31,2015,556
D32,2015,444
D33,2015,63
D34,2015,2812
D35,2015,3854
D36,2015,2693
D41,2015,12246
D43,2015,13962
D44,2015,13841
D45,2015,10038
D46,2015,4832
D47,2015,21930
D48,2015,10971
D49,2015,8399
D51,2015,0
D52,2015,101
D61,2015,0
D62,2015,79
D71,2015,25
D72,2015,181
D73,2015,9
D74,2015,777
D75,2015,126
D76,2015,0
D81,2015,225
D82,2015,0
D83,2015,9
D91,2015,27
D92,2015,0
D101,2015,0
D102,2015,0
D111,2015,0
D112,2015,0
D113,2015,0
D114,2015,9
D121,2015,0
D122,2015,0
D123,2015,0
D124,2015,0
D131,2015,0
D132,2015,18
D133,2015,0
D134,2015,0
D141,2015,0
D142,2015,0
D143,2015,93
D151,2015,0
D152,2015,0
D153,2015,0
D163,2015,0
D164,2015,0
D171,2015,0
D172,2015,0
D173,2015,0
D181,2015,0
D182,2015,0
D191,2015,0
D192,2015,0
D1,2050,4015
D2,2050,1929
D3,2050,4364
D4,2050,6230
D5,2050,20759
D6,2050,15097
D7,2050,30984
D8,2050,7969
D9,2050,22850
D10,2050,1662
D11,2050,14506
D12,2050,7801
D15,2050,0
D16,2050,0
D17,2050,9
D18,2050,18
D21,2050,2132
D22,2050,4521
D23,2050,1916
D24,2050,1448
D31,2050,556
D32,2050,444
D33,2050,63
D34,2050,2812
D35,2050,3854
D36,2050,2693
D41,2050,12246
D43,2050,13962
D44,2050,13841
D45,2050,10038
D46,2050,4832
D47,2050,21930
D48,2050,10971
D49,2050,8399
D51,2050,0
D52,2050,101
D61,2050,0
D62,2050,79
D71,2050,25
D72,2050,181
D73,2050,9
D74,2050,777
D75,2050,126
D76,2050,0
D81,2050,225
D82,2050,0
D83,2050,9
D91,2050,27
D92,2050,0
D101,2050,0
D102,2050,0
D111,2050,0
D112,2050,0
D113,2050,0
D114,2050,9
D121,2050,0
D122,2050,0
D123,2050,0
D124,2050,0
D131,2050,0
D132,2050,18
D133,2050,0
D134,2050,0
D141,2050,0
D142,2050,0
D143,2050,93
D151,2050,0
D152,2050,0
D153,2050,0
D163,2050,0
D164,2050,0
D171,2050,0
D172,2050,0
D173,2050,0
D181,2050,0
D182,2050,0
D191,2050,0
D192,2050,0
