Geo,Year,MixUseProp
D1,2015,NA
D2,2015,NA
D3,2015,NA
D4,2015,NA
D5,2015,NA
D6,2015,NA
D7,2015,NA
D8,2015,NA
D9,2015,NA
D10,2015,NA
D11,2015,NA
D12,2015,NA
D15,2015,NA
D16,2015,NA
D17,2015,NA
D18,2015,NA
D21,2015,NA
D22,2015,NA
D23,2015,NA
D24,2015,NA
D31,2015,NA
D32,2015,NA
D33,2015,NA
D34,2015,NA
D35,2015,NA
D36,2015,NA
D41,2015,NA
D43,2015,NA
D44,2015,NA
D45,2015,NA
D46,2015,NA
D47,2015,NA
D48,2015,NA
D49,2015,NA
D51,2015,NA
D52,2015,NA
D61,2015,NA
D62,2015,NA
D71,2015,NA
D72,2015,NA
D73,2015,NA
D74,2015,NA
D75,2015,NA
D76,2015,NA
D81,2015,NA
D82,2015,NA
D83,2015,NA
D91,2015,NA
D92,2015,NA
D101,2015,NA
D102,2015,NA
D111,2015,NA
D112,2015,NA
D113,2015,NA
D114,2015,NA
D121,2015,NA
D122,2015,NA
D123,2015,NA
D124,2015,NA
D131,2015,NA
D132,2015,NA
D133,2015,NA
D134,2015,NA
D141,2015,NA
D142,2015,NA
D143,2015,NA
D151,2015,NA
D152,2015,NA
D153,2015,NA
D163,2015,NA
D164,2015,NA
D171,2015,NA
D172,2015,NA
D173,2015,NA
D181,2015,NA
D182,2015,NA
D191,2015,NA
D192,2015,NA
D1,2050,NA
D2,2050,NA
D3,2050,NA
D4,2050,NA
D5,2050,NA
D6,2050,NA
D7,2050,NA
D8,2050,NA
D9,2050,NA
D10,2050,NA
D11,2050,NA
D12,2050,NA
D15,2050,NA
D16,2050,NA
D17,2050,NA
D18,2050,NA
D21,2050,NA
D22,2050,NA
D23,2050,NA
D24,2050,NA
D31,2050,NA
D32,2050,NA
D33,2050,NA
D34,2050,NA
D35,2050,NA
D36,2050,NA
D41,2050,NA
D43,2050,NA
D44,2050,NA
D45,2050,NA
D46,2050,NA
D47,2050,NA
D48,2050,NA
D49,2050,NA
D51,2050,NA
D52,2050,NA
D61,2050,NA
D62,2050,NA
D71,2050,NA
D72,2050,NA
D73,2050,NA
D74,2050,NA
D75,2050,NA
D76,2050,NA
D81,2050,NA
D82,2050,NA
D83,2050,NA
D91,2050,NA
D92,2050,NA
D101,2050,NA
D102,2050,NA
D111,2050,NA
D112,2050,NA
D113,2050,NA
D114,2050,NA
D121,2050,NA
D122,2050,NA
D123,2050,NA
D124,2050,NA
D131,2050,NA
D132,2050,NA
D133,2050,NA
D134,2050,NA
D141,2050,NA
D142,2050,NA
D143,2050,NA
D151,2050,NA
D152,2050,NA
D153,2050,NA
D163,2050,NA
D164,2050,NA
D171,2050,NA
D172,2050,NA
D173,2050,NA
D181,2050,NA
D182,2050,NA
D191,2050,NA
D192,2050,NA
