Geo,Year,PropUrbanSFDU,PropUrbanMFDU,PropUrbanGQDU,PropTownSFDU,PropTownMFDU,PropTownGQDU
D1,2015,0.921129953,0.907261083,1,0,0,0
D2,2015,1,1,1,0,0,0
D3,2015,0.98742206,0.991299983,1,0,0,0
D4,2015,0.986675298,0.990386106,1,0,0,0
D5,2015,1,1,1,0,0,0
D6,2015,1,1,1,0,0,0
D7,2015,0.976510682,0.984289214,1,0,0,0
D8,2015,1,1,1,0,0,0
D9,2015,0.993959616,0.99320017,1,0,0,0
D10,2015,0.590944173,0.504851598,1,0,0,0
D11,2015,1,1,1,0,0,0
D12,2015,0.897924642,0.86744186,1,0,0,0
D15,2015,0.360804851,0.282493369,1,0,0,0
D16,2015,0.059737885,0.071428571,1,0,0,0
D17,2015,0.631331998,0.616307692,1,0,0,0
D18,2015,0.935373657,0.939883202,1,0,0,0
D21,2015,1,1,1,0,0,0
D22,2015,0.998713992,0.997905875,1,0,0,0
D23,2015,1,1,1,0,0,0
D24,2015,0.908860454,0.900723372,1,0,0,0
D31,2015,0.982291997,0.979355488,1,0,0,0
D32,2015,0.995119081,0.995299647,1,0,0,0
D33,2015,0.931139478,0.90615142,1,0,0,0
D34,2015,1,1,1,0,0,0
D35,2015,1,1,1,0,0,0
D36,2015,1,1,1,0,0,0
D41,2015,1,1,1,0,0,0
D43,2015,1,1,1,0,0,0
D44,2015,0.984222765,0.990224418,1,0,0,0
D45,2015,1,1,1,0,0,0
D46,2015,1,1,1,0,0,0
D47,2015,1,1,1,0,0,0
D48,2015,0.976022231,0.976317664,1,0,0,0
D49,2015,0.948648147,0.940950694,1,0,0,0
D51,2015,0.571088581,0.483226837,1,0,0,0
D52,2015,0.848146288,0.853436748,1,0,0,0
D61,2015,0.778474621,0.801225323,1,0,0,0
D62,2015,0.464027966,0.504201681,1,0,0,0
D71,2015,0.942252942,0.926998841,1,0,0,0
D72,2015,1,1,1,0,0,0
D73,2015,0.829085696,0.794756554,1,0,0,0
D74,2015,1,1,1,0,0,0
D75,2015,1,1,1,0,0,0
D76,2015,0.958104765,0.940528634,1,0,0,0
D81,2015,0.90920444,0.903211418,1,0,0,0
D82,2015,0.37342826,0.341927563,1,0,0,0
D83,2015,0.695307256,0.688801351,1,0,0,0
D91,2015,0.693116989,0.665540541,1,0,0,0
D92,2015,0.81474797,0.779685265,1,0,0,0
D101,2015,0.549400263,0.565876777,1,0,0,0
D102,2015,0.264760887,0.21887287,1,0,0,0
D111,2015,0.237187816,0.258345428,1,0,0,0
D112,2015,0.019917582,0.025862069,1,0,0,0
D113,2015,0.050420168,0.054766734,1,0,0,0
D114,2015,0.716604753,0.741288279,1,0,0,0
D121,2015,0.416674948,0.476490826,1,0,0,0
D122,2015,0.003880755,0.008591065,1,0,0,0
D123,2015,0.44647092,0.518746159,1,0,0,0
D124,2015,0,0,1,0,0,0
D131,2015,0.423119839,0.461606355,1,0,0,0
D132,2015,0.641965059,0.680386543,1,0,0,0
D133,2015,0.05852349,0.07312253,1,0,0,0
D134,2015,0.090227911,0.097982709,1,0,0,0
D141,2015,0.369175627,0.342019544,1,0,0,0
D142,2015,0.725071507,0.697099893,1,0,0,0
D143,2015,0.965790956,0.952956989,1,0,0,0
D151,2015,0.031005222,0.030369961,1,0,0,0
D152,2015,0.577658303,0.597572584,1,0,0,0
D153,2015,0.568044926,0.60605042,1,0,0,0
D163,2015,0.53605706,0.526002972,1,0,0,0
D164,2015,0,0,1,0,0,0
D171,2015,0.51285753,0.458791209,1,0,0,0
D172,2015,0,0,1,0,0,0
D173,2015,0.768591042,0.75984252,1,0,0,0
D181,2015,0.529930796,0.561290323,1,0,0,0
D182,2015,0.459501407,0.514935989,1,0,0,0
D191,2015,0.286867109,0.26426799,1,0,0,0
D192,2015,0.279912879,0.332465278,1,0,0,0
D1,2050,0.927924231,0.931707317,1,0,0,0
D2,2050,1,1,1,0,0,0
D3,2050,1,1,1,0,0,0
D4,2050,0.988714177,0.993327244,1,0,0,0
D5,2050,1,1,1,0,0,0
D6,2050,1,1,1,0,0,0
D7,2050,0.981447009,0.985979124,1,0,0,0
D8,2050,1,1,1,0,0,0
D9,2050,0.998779247,0.999081532,1,0,0,0
D10,2050,0.653840358,0.592707182,1,0,0,0
D11,2050,1,1,1,0,0,0
D12,2050,0.9222095,0.906114967,1,0,0,0
D15,2050,0.3581588,0.309294872,1,0,0,0
D16,2050,0.347916667,0.363354037,1,0,0,0
D17,2050,0.847794168,0.824722709,1,0,0,0
D18,2050,1,1,1,0,0,0
D21,2050,1,1,1,0,0,0
D22,2050,1,1,1,0,0,0
D23,2050,1,1,1,0,0,0
D24,2050,0.958465231,0.960793466,1,0,0,0
D31,2050,0.993423201,0.990967936,1,0,0,0
D32,2050,0.995420525,0.995692749,1,0,0,0
D33,2050,0.975392419,0.962060564,1,0,0,0
D34,2050,1,1,1,0,0,0
D35,2050,1,1,1,0,0,0
D36,2050,1,1,1,0,0,0
D41,2050,1,1,1,0,0,0
D43,2050,1,1,1,0,0,0
D44,2050,0.990269819,0.996295192,1,0,0,0
D45,2050,1,1,1,0,0,0
D46,2050,1,1,1,0,0,0
D47,2050,1,1,1,0,0,0
D48,2050,0.987936202,0.982386027,1,0,0,0
D49,2050,0.960026668,0.955234353,1,0,0,0
D51,2050,0.724585135,0.637086514,1,0,0,0
D52,2050,0.948173665,0.931403829,1,0,0,0
D61,2050,0.890672451,0.898734177,1,0,0,0
D62,2050,0.661678799,0.651203758,1,0,0,0
D71,2050,0.994844859,0.993720565,1,0,0,0
D72,2050,1,1,1,0,0,0
D73,2050,0.976311373,0.973060845,1,0,0,0
D74,2050,1,1,1,0,0,0
D75,2050,1,1,1,0,0,0
D76,2050,1,1,1,0,0,0
D81,2050,0.97805103,0.985272459,1,0,0,0
D82,2050,0.748565081,0.752054132,1,0,0,0
D83,2050,0.828557,0.843573313,1,0,0,0
D91,2050,0.882460733,0.866998578,1,0,0,0
D92,2050,0.808448903,0.797371768,1,0,0,0
D101,2050,0.930127724,0.88172043,1,0,0,0
D102,2050,0.731880109,0.626804124,1,0,0,0
D111,2050,0.338645418,0.365778689,1,0,0,0
D112,2050,0.03671467,0.043010753,1,0,0,0
D113,2050,0.355001873,0.32642487,1,0,0,0
D114,2050,0.798055772,0.803395184,1,0,0,0
D121,2050,0.540235595,0.561711712,1,0,0,0
D122,2050,0.003521127,0.009156311,1,0,0,0
D123,2050,0.601942633,0.65243583,1,0,0,0
D124,2050,0,0,1,0,0,0
D131,2050,0.663802292,0.706497797,1,0,0,0
D132,2050,0.869171708,0.878220141,1,0,0,0
D133,2050,0.245405243,0.235426009,1,0,0,0
D134,2050,0.26777496,0.284482759,1,0,0,0
D141,2050,0.987055132,0.977893368,1,0,0,0
D142,2050,0.973971627,0.975107296,1,0,0,0
D143,2050,1,1,1,0,0,0
D151,2050,0.234748484,0.221068249,1,0,0,0
D152,2050,0.919154738,0.902310231,1,0,0,0
D153,2050,0.89404079,0.876934414,1,0,0,0
D163,2050,0.73383507,0.732441472,1,0,0,0
D164,2050,0.262029867,0.231124807,1,0,0,0
D171,2050,0.712626548,0.674418605,1,0,0,0
D172,2050,0.231566922,0.221743811,1,0,0,0
D173,2050,0.95037787,0.938369781,1,0,0,0
D181,2050,0.650082528,0.685056631,1,0,0,0
D182,2050,0.582157554,0.59978249,1,0,0,0
D191,2050,0.58879713,0.54796748,1,0,0,0
D192,2050,0.317182722,0.461940732,1,0,0,0
